time,ET Model,CE & ET Model
2019.0,18.12231962134871,18.067973021646765
2019.5,18.347188802200833,18.290817542580953
2020.0,18.580911678010274,18.522617341822695
2020.5,18.88642664299818,18.831876093605686
2021.0,19.250191512845145,19.19342049196745
2021.5,19.624158594381022,19.56504002377901
2022.0,20.007168688287383,19.94556739280403
2022.5,20.397914490132944,20.33370081374955
2023.0,20.79506874035549,20.728119315378922
2023.5,21.197302679519396,21.127501074086165
2024.0,21.603304254883877,21.53054146155991
2024.5,22.007270419533747,21.935970286482583
2025.0,22.41126554947398,22.34256794650503
2025.5,22.81563139558364,22.74751466685059
2026.0,23.219556879075565,23.147433655025054
2026.5,23.62254285568651,23.546424618596934
2027.0,24.023715203636232,23.943588799344703
2027.5,24.422306523404284,24.338147351800338
2028.0,24.817657304536393,24.729434742473664
2028.5,25.209139807466734,25.116816125371987
2029.0,25.595468620219037,25.499023991084545
2029.5,25.976301270404722,25.87572515512723
2030.0,26.35141779234258,26.246711963714446
2030.5,26.720719793779818,26.61190049539951
2031.0,27.08091707108557,26.967490460526744
2031.5,27.43308046361772,27.315682716474747
2032.0,27.782787776060296,27.661905728793247
2032.5,28.13644352340457,28.012831830219415
2033.0,28.492428706868466,28.37629179225636
2033.5,28.868570099063213,28.760371014242065
2034.0,29.273170041375785,29.173322602505873
2034.5,29.71436272709795,29.6182880783036
2035.0,30.200156051053106,30.104285748615045
2035.5,30.73798853238707,30.64370509959456
2036.0,31.33468024056437,31.243479182176976
2036.5,31.996788353734306,31.90953807535245
2037.0,32.72971457101735,32.64807711918022
2037.5,33.538013727020186,33.46329478838692
2038.0,34.425379332318094,34.35872699648145
2038.5,35.39454662132214,35.33715941702308
2039.0,36.44723653787044,36.40036246219121
2039.5,37.584119052716865,37.54905337226512
2040.0,38.8047895493681,38.78287059786058
2040.5,40.054673553297874,40.09981086063031
2041.0,41.34155326441746,41.483773931885914
2041.5,42.631466438955044,42.8926605826721
2042.0,43.90424131274607,44.29923766290457
2042.5,45.15896406684373,45.69066838284762
2043.0,46.39423764108477,47.02284554296705
2043.5,47.609605247372855,48.344670476650606
2044.0,49.02626989865186,49.64785216593159
2044.5,50.76288887202905,50.932761352426404
2045.0,52.50383738377934,52.20131313069002
2045.5,54.264161151210075,53.452824714908395
2046.0,56.04242724850532,54.68686666917324
2046.5,57.83891469728146,55.903047227118584
2047.0,59.65368177604511,57.101007333135726
2047.5,61.486739573233194,58.28042436325116
2048.0,63.0984711471256,59.82846726591039
2048.5,64.74776748159056,61.54257312801986
2049.0,66.40420768332336,63.255395137641436
2049.5,68.06680364517383,64.97395502150485
2050.0,69.73384758581386,66.69629972799133
2050.5,71.40535507655244,68.42226846724876
2051.0,73.08132642038773,70.15149157827527
2051.5,74.76259272432597,71.68445617411182
2052.0,76.45058045877788,73.2295231314485
2052.5,78.14675018789711,74.77674650354183
2053.0,79.85262575003085,76.3277593920797
2053.5,81.56976902373394,77.88362220280015
2054.0,83.29976359238715,79.44557778449892
2054.5,85.04419683692862,81.01486743839376
2055.0,86.80460307318532,82.59272669074544
2055.5,88.5824445543485,84.18042341296399
2056.0,90.37951661212246,85.77960600852063
2056.5,92.1974451381131,87.39187455566021
2057.0,94.00147131172697,89.01891401360876
2057.5,95.57826004827615,90.66167707721002
2058.0,97.16045853040718,92.1937079022287
2058.5,98.721002508108,93.55744961502937
2059.0,100.0,94.90829433723536
2059.5,100.0,96.22922122393372
2060.0,100.0,97.52978990670366
2060.5,100.0,98.81445670609321
2061.0,100.0,100.0
2061.5,100.0,100.0
2062.0,100.0,100.0
2062.5,100.0,100.0
2063.0,100.0,100.0
2063.5,100.0,100.0
2064.0,100.0,100.0
2064.5,100.0,100.0
2065.0,100.0,100.0
2065.5,100.0,100.0
2066.0,100.0,100.0
2066.5,100.0,100.0
2067.0,100.0,100.0
2067.5,100.0,100.0
2068.0,100.0,100.0
2068.5,100.0,100.0
2069.0,100.0,100.0
2069.5,100.0,100.0
2070.0,100.0,100.0
2070.5,100.0,100.0
2071.0,100.0,100.0
2071.5,100.0,100.0
2072.0,100.0,100.0
2072.5,100.0,100.0
2073.0,100.0,100.0
2073.5,100.0,100.0
2074.0,100.0,100.0
2074.5,100.0,100.0
2075.0,100.0,100.0
2075.5,100.0,100.0
2076.0,100.0,100.0
2076.5,100.0,100.0
2077.0,100.0,100.0
2077.5,100.0,100.0
2078.0,100.0,100.0
2078.5,100.0,100.0
2079.0,100.0,100.0
2079.5,100.0,99.2298582133062
2080.0,100.0,98.05503405134299
2080.5,100.0,96.8998849590595
2081.0,100.0,95.703086992997
2081.5,100.0,94.90514228378473
2082.0,100.0,95.4930951660072
2082.5,100.0,96.8553357054333
2083.0,100.0,97.8355414523734
2083.5,100.0,98.738308890223
2084.0,100.0,99.47664365471157
2084.5,100.0,99.75383086923281
2085.0,100.0,98.96176055877378
2085.5,100.0,98.2341216798501
2086.0,100.0,97.37831699909479
2086.5,100.0,96.42260803649557
2087.0,100.0,95.35819239273495
2087.5,100.0,94.18352583685417
2088.0,100.0,92.94297798551396
2088.5,100.0,91.69364877709648
2089.0,100.0,90.46824869485617
2089.5,100.0,89.34231059329011
2090.0,100.0,88.32542345684175
2090.5,100.0,87.43289038957604
2091.0,100.0,86.676616850847
2091.5,100.0,86.06606027419491
2092.0,100.0,85.60795700372661
2092.5,100.0,85.3062288363412
2093.0,100.0,85.16193012852042
2093.5,100.0,85.17317466735875
2094.0,100.0,85.33514830928654
2094.5,100.0,85.64019676728446
2095.0,100.0,86.07817830453715
2095.5,100.0,86.64070908412856
2096.0,100.0,87.31292855055786
2096.5,100.0,88.07945922423234
2097.0,100.0,88.59163796762935
2097.5,100.0,89.20148666535435
2098.0,100.0,89.8988581754434
2098.5,100.0,90.67868204562983
2099.0,100.0,91.54039161120124
2099.5,100.0,92.48022861291061
2100.0,100.0,93.48915353971567
